rad_name_ja,grade,hint_group,kunyomi,meaning,kstroke,examples,kunyomi_ja,ka_utf,rad_order,txt_books,kname,rad_utf,dick,rad_name,dicn,mn_hint,rad_stroke,onyomi_ja,rad_meaning,onyomi,ka_id,rad_position_ja,rad_position
"いち",1.0,1.0,"hito","one",1.0,"[ [ ""一年生 (いちねんせい)"", ""first-year student"" ], [ ""一番 (いちばん)"", ""number one"" ], [ ""一度 (いちど)"", ""once"" ], [ ""一杯 (いっぱい)"", ""one cup of, a lot of"" ], [ ""一緒 (いっしょ)"", ""together"" ], [ ""一分 (いっぷん)"", ""one minute"" ], [ ""一枚 (いちまい)"", ""one (flat object)"" ], [ ""一つ (ひとつ)"", ""one (object)"" ], [ ""一人 (ひとり)"", ""one person"" ] ]","ひと","一",1.0,"[ { ""chapter"" : ""6"", ""txt_bk"" : ""lesson"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""txtAd1"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtGenki"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ1"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""1"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""1"", ""txt_bk"" : ""txtLookLearn"" }, { ""txt_bk"" : ""mosr"", ""chapter"" : ""5"" }, { ""txt_bk"" : ""mosr"", ""chapter"" : ""13"" }, { ""txt_bk"" : ""cijr"", ""chapter"" : ""12"" }, { ""txt_bk"" : ""aij4"", ""chapter"" : ""3"" } ]","1","⼀",2105.0,"ichi",1.0,"One line.",1.0,"イチ","one, horizontal stroke","ichi","ka_1","",""
"にんべん",2.0,1.0,"nani, nan","what, how many",7.0,"[ [ ""幾何学 (きかがく)"", ""geometry"" ], [ ""何 (なに)"", ""what"" ], [ ""何色 (なにいろ)"", ""what color"" ], [ ""何しろ (なにしろ)"", ""at any rate, anyway"" ], [ ""何か (なにか)"", ""something"" ], [ ""何分 (なんぷん)"", ""how many minutes"" ], [ ""何時 (なんじ)"", ""what time"" ], [ ""何回 (なんかい)"", ""how many times"" ], [ ""何百 (なんびゃく)"", ""hundreds"" ], [ ""何度も (なんども)"", ""many times"" ], [ ""何才 (なんさい)"", ""how old"" ] ]","なに、なん","何",11.0,"[ { ""chapter"" : ""7"", ""txt_bk"" : ""lesson"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtAd2"" }, { ""chapter"" : ""8"", ""txt_bk"" : ""txtGenki"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ1"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtLookLearn"" }, { ""txt_bk"" : ""cijr"", ""chapter"" : ""12"" } ]","nani","⺅",45.0,"ninben",409.0,"A good 可 learner イ <span class='note'>(orig. ""person"")</span> asks questions.",2.0,"カ","person ","ka","ka_10","へん","hen"
"いち",1.0,1.0,"nana, nano, nanatsu","seven",2.0,"[ [ ""七時 (しちじ)"", ""7 o&apos;clock"" ], [ ""十七 (じゅうしち/じゅうなな)"", ""17"" ], [ ""七五三 (しちごさん)"", ""festival for children aged 7, 5 &amp; 3"" ], [ ""七回 (ななかい)"", ""7 times"" ], [ ""七週間 (ななしゅうかん)"", ""7 weeks"" ], [ ""七才 (ななさい)"", ""7 years old"" ], [ ""七日 (なのか)"", ""7 days, 7th of the month"" ], [ ""七つ (ななつ)"", ""7 (objects)"" ] ]","なな、なの、ななつ","七",1.0,"[ { ""chapter"" : ""6"", ""txt_bk"" : ""lesson"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""txtAd1"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtGenki"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ1"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""8"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""1"", ""txt_bk"" : ""txtLookLearn"" }, { ""txt_bk"" : ""aij4"", ""chapter"" : ""4"" } ]","7","⼀",2109.0,"ichi",261.0,"n/a",1.0,"シチ","one, horizontal stroke","shichi","ka_100","",""
"しょくへん",5.0,6.0,"ka, kau","raise animals",13.0,"[ [ ""飼料 (しりょう)"", ""fodder, feed"" ], [ ""飼育する (しいくする)"", ""breed, raise, rear"" ], [ ""飼う (かう)"", ""keep as a pet"" ], [ ""飼い犬 (かいいぬ)"", ""pet dog"" ], [ ""羊飼い (ひつじかい)"", ""shepherd, shepherdess"" ], [ ""放し飼い (はなしがい)"", ""pasturing, grazing"" ] ]","か、かう","飼",221.0,"[ { ""txt_bk"" : ""mosr"", ""chapter"" : ""8"" } ]","shi-ka(u)","⻟",1128.0,"shokuhen",5163.0,"Person in charge 司 feeds [15] animals.",8.0,"シ","food, to eat","shi","ka_1000","へん","hen"
"しめす",5.0,1.0,"shime, shimesu","show",5.0,"[ [ ""示唆する (しさする)"", ""suggest, give a hint"" ], [ ""示談 (じだん)"", ""settlement out of court"" ], [ ""掲示する (けいじする)"", ""put up a notice"" ], [ ""指示する (しじする)"", ""indicate, instruct, direct"" ], [ ""誇示する (こじする)"", ""emphasize, show off, display"" ], [ ""展示する (てんじする)"", ""exhibit, display [v.t.]"" ], [ ""表示する (ひょうじする)"", ""mark, display [v.t.]"" ], [ ""暗示する (あんじする)"", ""hint, suggest"" ], [ ""訓示する (くんじする)"", ""instruct, give instructions"" ], [ ""啓示する (けいじする)"", ""apocalypse, reveal"" ], [ ""示す (しめす)"", ""point out, indicate"" ] ]","しめ、しめす","示",144.0,"[ { ""chapter"" : ""20"", ""txt_bk"" : ""macquarie"" }, { ""chapter"" : ""7"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""jt"" } ]","ji-shime(su)","⽰",1229.0,"shimesu",3228.0,"Please view the animation in the radical field to the left.",5.0,"シ、ジ","altar, festival, religious service","shi, ji","ka_1001","",""
"しんにょう",5.0,6.0,"no, noberu","state, mention, refer to, explain",8.0,"[ [ ""述語 (じゅつご)"", ""predicate [n.]"" ], [ ""著述家 (ちょじゅつか)"", ""writer"" ], [ ""述懐する (じゅっかいする)"", ""recollect, reminisce"" ], [ ""供述する (きょうじゅつする)"", ""state, declare"" ], [ ""陳述する (ちんじゅつする)"", ""testify, state, depose"" ], [ ""詳述する (しょうじゅつする)"", ""explain in detail"" ], [ ""記述する (きじゅつする)"", ""describe"" ], [ ""口述する (こうじゅつする)"", ""state verbally"" ], [ ""上述する (じょうじゅつする)"", ""state above"" ], [ ""述べる (のべる)"", ""state, express, mention"" ] ]","の、のべる","述",72.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""jtr"" } ]","jutsu-no(beru)","⻌",1954.0,"shinnyou",4675.0,"Lots 十 of words 八 explaining something 丶, going [10] on and on.",3.0,"ジュツ","road, walk, to advance","jutsu","ka_1002","にょう","nyou"
"まだれ",5.0,1.0,"n/a","introductory part, order, preface",7.0,"[ [ ""序文 (じょぶん)"", ""preface, foreword"" ], [ ""序曲 (じょきょく)"", ""overture, prelude"" ], [ ""序説 (じょせつ)"", ""introduction"" ], [ ""序列 (じょれつ)"", ""rank, ranking order"" ], [ ""順序 (じゅんじょ)"", ""order, sequence, procedure"" ], [ ""秩序 (ちつじょ)"", ""order, regularity, system"" ] ]","","序",63.0,"[ { ""chapter"" : ""10"", ""txt_bk"" : ""txtIKB"" } ]","jo(ban)","⼴",1945.0,"madare",1502.0,"Side buildings 广 previous 予 to entering the main building according to a route.",3.0,"ジョ","slanting roof","jo","ka_1003","たれ","tare"
"いとへん",5.0,1.0,"o, oru, ori","weave",18.0,"[ [ ""染織 (せんしょく)"", ""weaving and dyeing"" ], [ ""紡織 (ぼうしょく)"", ""spinning and weaving"" ], [ ""織機 (しょっき)"", ""loom, weaving machine"" ], [ ""組織 (そしき)"", ""organization, structure"" ], [ ""織る (おる)"", ""weave"" ], [ ""織り目 (おりめ)"", ""texture"" ], [ ""織物 (おりもの)"", ""textile, fabric"" ], [ ""毛織 (けおり)"", ""woollen fabric, woollen cloth"" ] ]","お、おる、おり","織",158.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIKB"" } ]","(so)shiki","",958.0,"itohen",3613.0,"Threads 糸 being woven 戠 in a loom.",6.0,"ショク、シキ","thread","shoku, shiki","ka_1004","へん","hen"
"のぎへん",5.0,1.0,"n/a","tax",12.0,"[ [ ""税金 (ぜいきん)"", ""tax, duty"" ], [ ""税関 (ぜいかん)"", ""customs house"" ], [ ""税理士 (ぜいりし)"", ""tax counsellor"" ], [ ""関税 (かんぜい)"", ""customs, duty, tariff"" ], [ ""所得税 (しょとくぜい)"", ""income tax"" ], [ ""間接税 (かんせつぜい)"", ""indirect tax"" ], [ ""納税する (のうぜいする)"", ""pay taxes"" ], [ ""課税する (かぜいする)"", ""tax [v.t.]"" ], [ ""脱税する (だつぜいする)"", ""evade tax"" ], [ ""増税する (ぞうぜいする)"", ""increase tax"" ], [ ""減税する (げんぜいする)"", ""decrease tax"" ], [ ""免税する (めんぜいする)"", ""exempt from taxation [v.t.]"" ] ]","","税",145.0,"[ { ""chapter"" : ""6"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""11"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""11"", ""txt_bk"" : ""jt"" } ]","zei(kin)","⽲",807.0,"nogihen",3287.0,"Crops 禾 being counted by government official 兑 to determine the tax to be paid.",5.0,"ゼイ","grain","zei","ka_1005","へん","hen"
"した",5.0,1.0,"shita","tongue",6.0,"[ [ ""舌癌 (ぜつがん)"", ""tongue cancer"" ], [ ""舌戦 (ぜっせん)"", ""war of words"" ], [ ""毒舌な (どくぜつな)"", ""verbally abusive, sharp-tongued"" ], [ ""饒舌な (じょうぜつな)"", ""garrulous, talkative"" ], [ ""舌 (した)"", ""tongue"" ], [ ""猫舌 (ねこじた)"", ""unable to take hot food"" ], [ ""二枚舌 (にまいじた)"", ""double-dealing, double-tongued"" ], [ ""舌打ちする (したうちする)"", ""smack one&apos;s lips"" ] ]","した","舌",169.0,"[ { ""chapter"" : ""13"", ""txt_bk"" : ""macquarie"" } ]","zetsu-shita","⾆",1384.0,"shita",3855.0,"Please view the animation in the radical field to the left.",6.0,"ゼツ","tongue","zetsu","ka_1006","",""
