ka_utf,ka_id,kunyomi_ka_display
"一","ka_1","ひと"
"何","ka_10","なに、なん"
"七","ka_100","なな、なの"
"飼","ka_1000","か"
"示","ka_1001","しめ"
"述","ka_1002","の"
"序","ka_1003","n/a"
"織","ka_1004","お、おり"
"税","ka_1005","n/a"
"舌","ka_1006","した"
"銭","ka_1007","ぜに"
"祖","ka_1008","n/a"
"測","ka_1009","はか"
"八","ka_101","や、よう"
"属","ka_1010","n/a"
"損","ka_1011","そこ"
"退","ka_1012","しりぞ"
"銅","ka_1013","n/a"
"徳","ka_1014","n/a"
"犯","ka_1015","おか"
"版","ka_1016","n/a"
"俵","ka_1017","たわら"
"婦","ka_1018","n/a"
"富","ka_1019","と、とみ"
"九","ka_102","ここの"
"武","ka_1020","n/a"
"複","ka_1021","n/a"
"墓","ka_1022","はか"
"報","ka_1023","むく"
"防","ka_1024","ふせ"
"貿","ka_1025","n/a"
"務","ka_1026","つと"
"綿","ka_1027","わた"
"余","ka_1028","あま"
"略","ka_1029","n/a"
"十","ka_103","とお、と"
"領","ka_1030","n/a"
"域","ka_1031","n/a"
"宇","ka_1032","n/a"
"沿","ka_1033","そ"
"灰","ka_1034","はい"
"閣","ka_1035","n/a"
"割","ka_1036","わ、わり、さ"
"株","ka_1037","かぶ"
"干","ka_1038","ほ、ひ"
"巻","ka_1039","ま、まき"
"待","ka_104","ま"
"看","ka_1040","n/a"
"危","ka_1041","あぶ、あや"
"揮","ka_1042","n/a"
"貴","ka_1043","たっと、とうと"
"郷","ka_1044","n/a"
"警","ka_1045","n/a"
"穴","ka_1046","あな"
"絹","ka_1047","きぬ"
"憲","ka_1048","n/a"
"源","ka_1049","みなもと"
"堂","ka_105","n/a"
"己","ka_1050","おのれ"
"后","ka_1051","n/a"
"孝","ka_1052","n/a"
"紅","ka_1053","べに、くれない"
"鋼","ka_1054","はがね"
"刻","ka_1055","きざ"
"穀","ka_1056","n/a"
"砂","ka_1057","すな"
"裁","ka_1058","た、さば"
"策","ka_1059","n/a"
"話","ka_106","はな"
"蚕","ka_1060","かいこ"
"至","ka_1061","いた"
"姿","ka_1062","すがた"
"視","ka_1063","n/a"
"磁","ka_1064","n/a"
"樹","ka_1065","n/a"
"宗","ka_1066","n/a"
"就","ka_1067","つ"
"衆","ka_1068","n/a"
"縦","ka_1069","たて"
"開","ka_107","ひら、あ"
"縮","ka_1070","ちぢ"
"処","ka_1071","n/a"
"署","ka_1072","n/a"
"諸","ka_1073","n/a"
"傷","ka_1074","きず、いた"
"蒸","ka_1075","む"
"針","ka_1076","はり"
"仁","ka_1077","n/a"
"垂","ka_1078","た"
"寸","ka_1079","n/a"
"閉","ka_108","と、し"
"盛","ka_1080","も、さか"
"誠","ka_1081","まこと"
"宣","ka_1082","n/a"
"泉","ka_1083","いずみ"
"染","ka_1084","そ、し"
"善","ka_1085","よ"
"奏","ka_1086","かな"
"装","ka_1087","よそお"
"層","ka_1088","n/a"
"操","ka_1089","みさお、あやつ"
"友","ka_109","とも"
"臓","ka_1090","n/a"
"誕","ka_1091","n/a"
"暖","ka_1092","あたた"
"宙","ka_1093","n/a"
"庁","ka_1094","n/a"
"頂","ka_1095","いただ、いただき"
"潮","ka_1096","しお"
"賃","ka_1097","n/a"
"討","ka_1098","う"
"党","ka_1099","n/a"
"上","ka_11","うえ、うわ、かみ、あ、のぼ"
"達","ka_110","たち"
"糖","ka_1100","n/a"
"納","ka_1101","おさ"
"脳","ka_1102","n/a"
"拝","ka_1103","おが"
"肺","ka_1104","n/a"
"俳","ka_1105","n/a"
"班","ka_1106","n/a"
"秘","ka_1107","ひ"
"腹","ka_1108","はら"
"奮","ka_1109","ふる"
"手","ka_111","て、た"
"陛","ka_1110","n/a"
"補","ka_1111","おぎな"
"宝","ka_1112","たから"
"棒","ka_1113","n/a"
"幕","ka_1114","n/a"
"密","ka_1115","n/a"
"盟","ka_1116","n/a"
"模","ka_1117","n/a"
"郵","ka_1118","n/a"
"幼","ka_1119","おさな"
"紙","ka_112","かみ"
"翌","ka_1120","n/a"
"卵","ka_1121","たまご"
"覧","ka_1122","n/a"
"裏","ka_1123","うら"
"臨","ka_1124","のぞ"
"朗","ka_1125","ほが"
"依","ka_1126","n/a"
"違","ka_1127","ちが"
"鋭","ka_1128","するど"
"煙","ka_1129","けむり、けむ"
"書","ka_113","か"
"汚","ka_1130","けが、よご、きたな"
"押","ka_1131","お"
