rad_id,rad_stroke,rad_char,rad_meaning,rad_name_ja,rad_name,rad_position_ja,rad_position
,7,⾚,red,あか,aka,,
,4,⽋,"to lack, yawn",あくび,akubi,,
,5,⽢,sweet,あまい,amai,,
,8,⾬,rain,あめ,ame,,
,8,⻗,rain,あめかんむり,amekanmuri,かんむり,kanmuri
,4,㓁,net,あみがしら,amigashira,,
,5,⺫,net,あみがしら,amigashira,かんむり,kanmuri
,5,𦉰 ,net,あみがしら,amigashira,,
,6,⽹,net,あみめ,amime,,
,5,⽳,"hole, cave",あな,ana,,
,5,,"hole, cave",あなかんむり,anakanmuri,かんむり,kanmuri
,8,⾭,"blue, green",あお,ao,,
,8,⻘,"blue, green",あお,ao,,
,8,⾮,"wrong, non-",あらず,arazu,,
,11,⿇,hemp,あさ,asa,,
,11,,hemp,あさかんむり,asakanmuri,かんむり,kanmuri
,7,⾜,"foot, leg",あし,ashi,,
,7,⻊,"foot, leg",あしへん,ashihen,へん,hen
,2,⼘,oracle,ぼく,boku,,
,4,⽁,"activity, to strike, hit",ぼくづくり,bokuzukuri,つくり,tsukuri
,4,⺙,"activity, to strike, hit",ぼくづくり,bokuzukuri,つくり,tsukuri
,4,⽂,"literature, letters",ぶん,bun,,
,6,⾎,blood,ち,chi,,
,4,⽗,father,ちち,chichi,,
,2,⼒,power,ちから,chikara,,
,3,⼤,"large, big",だい,dai,,
,3,⺐,lame leg,だいのまげあし,dainomageashi,つくり,tsukuri
,6,⾀,writing brush,ふでづくり,fudezukuri,,
,6,⾈,"ship, boat",ふね,fune,,
,6,,"ship, boat",ふねへん,funehen,へん,hen
,8,⾫,small bird,ふるとり,furutori,,
,2,⼙,"stamp, seal",ふしづくり,fushizukuri,つくり,tsukuri
,2,⼚,cliff,がんだれ,gandare,たれ,tare
,4,⽍,"death & dying, to decompose",がつ,gatsu,,
,4,,"death & dying, to decompose",がつへん,gatsuhen,へん,hen
29,5,⽞,darkness,げん,gen,,
30,7,⾔,"words, to speak, say",げん,gen,,
,7,,"words, to speak, say",ごんべん,gonben,へん,hen
,6,⾏,to go,ぎょうがまえ,gyougamae,"かまえ, ぎょうがまえ","kamae, gyougamae"
,3,⼻,"step, stride, street, to go",ぎょうにんべん,gyouninben,へん,hen
,12,⻭,tooth,は,ha,,
,15,⿒,tooth,は,ha,,
,3,⼱,cloth,はば,haba,,
,3,,cloth,はばへん,habahen,へん,hen
,2,⼋,eight,はち,hachi,,
,2,,eight,はちがしら,hachigashira,,
,2,⼕,box,はこがまえ,hakogamae,"かまえ, はこがまえ","kamae, hakogamae"
,5,,white,はくへん,hakuhen,へん,hen
,14,⿐,nose,はな,hana,,
,6,羽,"feather, wing",はね,hane,,
,6,⽻,"feather, wing",はね,hane,,
,1,⼅,vertical stroke with a hook,はねぼう,hanebou,,
,7,⾛,to run,はしる,hashiru,,
,5,⽨,"outspread legs, departure",はつがしら,hatsugashira,かんむり,kanmuri
47,4,⽇,"sun, day, time",ひ,hi,,
48,4,⽕,fire,ひ,hi,,
49,4,,"sun, day, time",ひへん,hihen,へん,hen
50,4,,fire,ひへん,hihen,へん,hen
,5,⽦,bolt of cloth,ひき,hiki,,
,5,⺪,bolt of cloth,ひきへん,hikihen,へん,hen
,4,⽈,to say,ひらび,hirabi,,
,2,⼈,person,ひと,hito,,
,2,⼉,human legs,ひとあし,hitoashi,あし,ashi
,2,𠆢,person ,ひとやね,hitoyane,かんむり,kanmuri
,6,⽺,sheep,ひつじ,hitsuji,,
,6,⺷,sheep,ひつじ,hitsuji,,
,7,⾣,"sake jar, bird",ひよみのとり,hiyominotori,,
,4,⼽,"spear, weapon",ほこ,hoko,,
,5,⽭,halberd,ほこ,hoko,,
,5,,halberd,ほこへん,hokohen,へん,hen
,10,⾻,bone,ほね,hone,,
,10,,bone,ほねへん,honehen,へん,hen
